safe_file,original_file,title,artist,license,source,attribution
music_safe/track-036.mp3,Lopkerjo - No Kings Blues.mp3,No Kings Blues,Lopkerjo,TODO: CC0 / CC BY,TODO: вставить ссылку на источник,Lopkerjo - No Kings Blues - TODO LICENSE
music_safe/track-038.mp3,LowLevA - Kids at play.mp3,Kids at play,LowLevA,TODO: CC0 / CC BY,TODO: вставить ссылку на источник,LowLevA - Kids at play - TODO LICENSE
music_safe/track-039.mp3,Mahogany Marie - Kick Back.mp3,Kick Back,Mahogany Marie,TODO: CC0 / CC BY,TODO: вставить ссылку на источник,Mahogany Marie - Kick Back - TODO LICENSE
music_safe/track-058.mp3,Vlad Annenkov - Fresh Motivational Corporate _Beacon Line_.mp3,Fresh Motivational Corporate _Beacon Line_,Vlad Annenkov,TODO: CC0 / CC BY,TODO: вставить ссылку на источник,Vlad Annenkov - Fresh Motivational Corporate _Beacon Line_ - TODO LICENSE
